TABELA DE SIMBOLOS - "teste-01.ptg" 

+-----+------------+------------------+-----------------------------------------------------------------------+
| POS | TOKEN      | LEXEMA           | POS NA ENTRADA (linha,coluna)                                         |
+-----+------------+------------------+-----------------------------------------------------------------------+
|  73 | tk_IDEN    | num              | (  2,  8) (  6,  9) (  9,  7) (  9, 20) ( 10, 14) ( 12, 12) ( 21,  3) |
|  22 | tk_IDEN    | nUm              | (  3,  8) (  7,  9) (  9, 12) ( 12,  7) ( 12, 20) ( 13, 14) ( 20,  3) |
|  30 | tk_IDEN    | NuM              | (  3, 13) (  8,  9) (  9, 25) ( 12, 25) ( 15, 14) ( 19,  3)           |
|  87 | tk_IDEN    | Maior            | (  4,  8) ( 15,  5) ( 18, 12)                                         |
|  47 | tk_CADEIA  | "Digite 3 nros:" | (  5, 12)                                                             |
|  15 | tk_IDEN    | maior            | ( 10,  5)                                                             |
|  11 | tk_IDEN    | MAIOR            | ( 13,  5)                                                             |
|  73 | tk_CADEIA  | "Maior = "       | ( 17, 12)                                                             |
|  75 | tk_DECIMAL | 0.12             | ( 19, 14) ( 20,  9)                                                   |
|  13 | tk_INTEIRO | 1                | ( 19, 21) ( 20, 14)                                                   |
|  78 | tk_INTEIRO | 1234567890       | ( 19, 27) ( 20, 18)                                                   |
|  52 | tk_DECIMAL | 0.0              | ( 19, 41) ( 20, 30)                                                   |
| 100 | tk_DECIMAL | 0.0              | ( 19, 47) ( 20, 34) ( 24, 21)                                         |
|  27 | tk_DECIMAL | 12345.67871      | ( 19, 52) ( 20, 37)                                                   |
| 117 | tk_INTEIRO | 1                | ( 22, 13) ( 24, 13) ( 24, 30)                                         |
| 103 | tk_IDEN    | xpasso1          | ( 22, 18)                                                             |
|  89 | tk_IDEN    | s                | ( 22, 26)                                                             |
|  82 | tk_IDEN    | paraide1         | ( 23,  3)                                                             |
|  40 | tk_IDEN    | ate9passo        | ( 23, 12)                                                             |
|  85 | tk_DECIMAL | 1.2              | ( 23, 22)                                                             |
|  76 | tk_DECIMAL | 0.3              | ( 23, 25)                                                             |
|   9 | tk_IDEN    | i                | ( 24,  8)                                                             |
| 110 | tk_DECIMAL | 9.0              | ( 24, 18)                                                             |
|  17 | tk_IDEN    | j                | ( 24, 32)                                                             |
+-----+------------+------------------+-----------------------------------------------------------------------+

